[[None, None, 'O'], ['X', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'X', None], ['O', None, None], ['X', 'O', 'O']]@-10@O
[['X', 'O', 'O'], ['O', None, None], ['X', 'X', None]]@-10@O
[['O', None, None], ['O', None, 'X'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'O'], ['O', None, 'X'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'O'], ['X', 'X', 'O']]@-10@O
[['O', 'X', 'X'], ['O', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'X'], ['X', 'O', 'O']]@-10@O
[['X', 'X', 'O'], ['O', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['X', None, 'O'], ['O', 'O', 'X']]@-10@O
[['O', 'O', 'X'], ['X', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'O'], ['O', 'X', 'X']]@-10@O
[['X', 'O', None], ['O', None, 'X'], ['X', 'O', 'X']]@10@O
[['X', 'O', 'X'], ['X', None, 'O'], [None, 'O', 'X']]@10@O
[['X', 'O', 'X'], ['O', None, 'X'], ['X', 'O', None]]@10@O
[['X', 'O', 'X'], ['O', None, 'O'], ['X', 'X', None]]@10@O
[['X', 'X', None], ['O', None, 'O'], ['X', 'O', 'X']]@10@O
[[None, 'X', 'X'], ['O', None, 'O'], ['X', 'O', 'X']]@10@O
[[None, 'O', 'X'], ['X', None, 'O'], ['X', 'O', 'X']]@10@O
[['X', 'O', 'X'], ['O', None, 'O'], [None, 'X', 'X']]@10@O
[['X', 'O', 'X'], ['X', None, 'O'], ['X', 'O', None]]@-10@O
[[None, 'O', 'X'], ['O', None, 'X'], ['X', 'O', 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, 'O'], [None, 'O', 'X']]@-10@O
[['X', 'O', None], ['O', None, 'O'], ['X', 'X', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'X'], [None, 'O', 'X']]@-10@O
[['X', 'O', None], ['X', None, 'O'], ['X', 'O', 'X']]@-10@O
[[None, 'O', 'X'], ['O', None, 'O'], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, 'O'], ['X', 'O', None]]@-10@O
[['X', 'O', 'X'], ['X', None, 'O'], [None, 'O', None]]@-10@O
[['X', 'O', None], ['O', None, 'O'], ['X', 'X', None]]@-10@O
[[None, 'O', None], ['X', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'X'], [None, 'O', None]]@-10@O
[[None, 'O', None], ['O', None, 'X'], ['X', 'O', 'X']]@-10@O
[['X', 'X', None], ['O', None, 'O'], ['X', 'O', None]]@-10@O
[[None, 'X', 'X'], ['O', None, 'O'], [None, 'O', 'X']]@-10@O
[[None, 'O', 'X'], ['O', None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'O', 'X'], [None, None, 'O'], ['O', 'X', 'X']]@0@O
[['X', 'X', 'O'], ['O', None, None], ['X', 'O', 'X']]@0@O
[['X', None, 'O'], ['O', None, 'X'], ['X', 'O', 'X']]@0@O
[['O', 'X', 'X'], [None, None, 'O'], ['X', 'O', 'X']]@0@O
[['X', 'O', 'X'], ['O', None, None], ['X', 'X', 'O']]@0@O
[['X', 'O', 'X'], ['X', None, 'O'], ['O', None, 'X']]@0@O
[['O', None, 'X'], ['X', None, 'O'], ['X', 'O', 'X']]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], ['X', None, 'O']]@0@O
[['X', 'X', 'O'], ['O', None, 'X'], ['X', 'O', None]]@0@O
